age,occupation_type,income_range,urban_or_rural,credit_score,debt_to_income_ratio,premium_payment_delay_days,policy_lapse_count,annual_income,claim_amount,claim_amount_vs_income_ratio,total_previous_claims,high_value_claim_ratio,claim_frequency_last_3yrs,previous_claim_rejection_count,multi_policy_count,legal_dispute_count,previous_fraud_flag,identity_verification_score,document_mismatch_score,claim_submission_hour,geo_distance_from_registered_address,device_risk_score,IP_address_change_count,claim_submission_weekend_flag,fraud_label
46,salaried,medium,urban,732,0.38,8,0,768915,267488,0.35,2,0.34,3.0,1,5,0,0,0.87,0.05,9,0.0,0.67,1,1,0
40,salaried,medium,rural,522,0.62,4,0,798209,189935,0.24,0,0.12,0.1,0,1,0,0,0.83,0.22,6,46.6,0.21,1,1,0
35,salaried,low,rural,623,0.09,4,2,256323,423972,1.65,3,0.29,1.8,0,1,0,0,0.78,0.0,10,41.6,0.44,0,0,0
57,business,medium,urban,610,0.36,5,0,548976,334939,0.61,2,0.17,3.0,0,4,0,0,0.91,0.0,7,7.3,0.0,3,0,0
53,student,low,rural,678,0.17,9,0,269523,65270,0.24,3,0.31,0.9,0,3,0,0,0.83,0.46,5,87.2,0.0,2,0,0
37,salaried,low,rural,779,0.5,5,0,356938,5000,0.01,2,0.06,3.1,0,3,0,0,1.0,0.15,9,0.0,0.37,1,0,0
25,salaried,medium,urban,669,0.3,3,0,803178,239387,0.3,1,0.1,1.3,0,2,0,0,0.64,0.25,10,42.1,1.0,2,1,0
24,self_employed,medium,rural,588,0.34,3,0,894612,258502,0.29,2,0.15,2.4,0,2,1,0,0.94,0.29,2,40.2,0.18,2,0,1
23,salaried,low,urban,673,0.5,3,0,270688,176052,0.65,5,0.18,2.0,0,4,0,0,0.88,0.09,18,0.0,0.09,0,0,0
41,student,high,urban,629,0.24,5,0,1103333,386920,0.35,1,0.38,2.1,0,5,0,0,0.85,0.24,12,10.0,0.0,3,0,1
60,business,medium,urban,793,0.54,3,0,933068,88609,0.09,1,0.43,2.0,0,3,0,0,1.0,0.0,3,0.0,0.7,1,0,0
23,salaried,low,urban,654,0.46,4,0,335040,5000,0.01,1,0.04,1.3,1,2,0,0,0.89,0.25,23,0.0,0.0,2,0,0
41,salaried,high,rural,702,0.42,1,0,1425104,301808,0.21,2,0.02,0.0,0,5,0,0,0.56,0.38,4,33.3,0.0,0,0,0
68,salaried,medium,urban,579,0.1,3,0,819979,23647,0.03,2,0.04,1.8,0,1,0,0,0.94,0.2,12,8.2,0.35,3,0,0
69,salaried,medium,urban,558,0.37,5,1,575758,194451,0.34,2,0.19,1.2,1,4,0,0,1.0,0.19,6,9.0,0.54,2,0,0
28,salaried,medium,rural,539,0.08,10,0,561450,153186,0.27,1,0.19,2.5,1,2,0,0,0.77,0.53,23,1.5,0.15,0,0,0
62,business,high,rural,669,0.27,6,1,2003746,77053,0.04,5,0.15,1.8,0,3,1,0,1.0,0.0,16,66.2,0.07,1,0,0
56,salaried,medium,urban,599,0.4,3,0,948753,116647,0.12,1,0.07,3.3,0,2,1,0,1.0,0.57,16,15.4,0.47,0,0,1
49,salaried,medium,urban,817,0.16,6,0,587655,340231,0.58,2,0.67,0.5,0,3,0,0,0.91,0.43,16,114.2,0.71,2,1,0
59,student,low,rural,639,0.17,6,2,329024,267580,0.81,1,0.39,1.8,0,3,0,0,0.81,0.18,1,89.8,0.32,2,1,0
54,salaried,high,urban,713,0.24,5,2,1000000,196565,0.2,1,0.25,0.7,0,4,0,0,0.8,0.23,11,81.3,0.0,1,1,0
42,salaried,high,urban,644,0.44,6,0,1463599,202687,0.14,2,0.18,3.4,0,5,0,0,0.86,0.21,18,61.6,0.01,2,1,0
51,self_employed,medium,urban,714,0.49,3,0,622146,5000,0.01,2,0.41,0.4,1,1,0,0,0.78,0.03,1,22.9,0.57,1,1,0
48,salaried,low,urban,664,0.42,5,2,255527,147718,0.58,2,0.03,3.5,0,1,0,0,0.83,0.0,2,0.0,0.47,2,1,1
55,salaried,high,urban,586,0.51,7,0,1524783,24510,0.02,2,0.21,2.2,1,1,0,0,1.0,0.24,12,0.0,0.23,1,1,0
54,business,medium,urban,614,0.6,7,1,561739,391317,0.7,1,0.31,3.1,1,2,0,0,0.68,0.36,11,58.6,0.49,1,0,0
33,business,high,rural,672,0.07,3,0,1301348,234787,0.18,2,0.16,1.3,0,3,0,0,0.92,0.26,20,200.0,0.61,1,1,1
61,business,low,urban,592,0.31,5,1,308002,185054,0.6,1,0.57,1.5,0,1,0,0,0.82,0.45,11,0.0,0.01,1,0,0
24,business,low,urban,641,0.46,2,1,311565,92217,0.3,5,0.08,0.6,0,3,0,0,0.78,0.23,23,26.6,0.49,1,1,0
63,self_employed,high,rural,742,0.48,5,1,1563793,352962,0.23,3,0.5,1.0,1,1,0,0,0.82,0.52,2,3.4,0.43,3,0,0
26,salaried,medium,urban,650,0.46,0,3,932016,366629,0.39,3,0.21,0.6,0,3,1,0,0.8,0.0,3,84.0,0.42,2,0,0
21,business,medium,urban,685,0.47,5,0,611210,357280,0.58,3,0.29,1.0,0,3,0,0,1.0,0.48,17,63.4,0.68,1,1,0
32,salaried,medium,rural,661,0.36,10,1,763312,129857,0.17,2,0.23,2.1,1,1,0,0,1.0,0.35,13,24.5,0.59,1,0,0
55,business,high,rural,598,0.28,5,2,1417784,229248,0.16,2,0.19,2.1,0,1,0,0,0.77,0.53,6,114.6,0.62,1,0,0
31,salaried,low,urban,578,0.43,4,0,311083,300280,0.97,3,0.18,1.6,0,3,0,0,0.85,0.35,19,17.9,0.17,3,0,1
43,salaried,medium,urban,743,0.12,4,0,582672,110968,0.19,2,0.41,3.0,2,2,0,0,0.83,0.13,8,155.8,0.4,1,0,0
34,salaried,low,urban,753,0.53,6,0,336203,252004,0.75,0,0.22,2.3,1,5,0,0,1.0,0.16,10,127.5,0.15,1,1,0
39,salaried,high,urban,587,0.47,9,0,1255247,420683,0.34,3,0.16,0.0,0,1,0,0,0.74,0.26,12,0.0,0.24,1,1,0
57,student,medium,urban,745,0.46,10,2,692377,235948,0.34,2,0.56,1.4,0,2,0,0,0.74,0.33,20,81.1,0.48,1,1,0
36,self_employed,medium,urban,685,0.52,8,0,776710,5000,0.01,0,0.37,0.0,0,4,1,0,0.93,0.37,13,0.0,0.08,1,0,0
64,business,medium,urban,715,0.33,3,2,529182,209169,0.4,4,0.12,1.1,1,3,0,0,0.75,0.09,11,63.8,0.15,2,1,0
48,self_employed,low,urban,832,0.5,4,4,323755,387795,1.2,2,0.12,1.8,0,4,0,0,0.81,0.0,23,90.5,0.35,1,0,0
65,salaried,high,urban,524,0.32,11,0,1516365,135559,0.09,3,0.18,1.4,0,1,0,0,0.63,0.27,20,51.4,0.47,0,0,1
51,self_employed,medium,urban,645,0.18,6,1,766578,195117,0.25,2,0.15,1.9,2,3,0,0,0.77,0.47,17,88.1,0.25,0,0,0
27,salaried,high,rural,702,0.32,6,0,1105576,232065,0.21,1,0.3,3.1,0,3,0,0,0.86,0.16,15,118.9,0.6,1,0,0
66,salaried,medium,urban,743,0.33,2,0,821981,359859,0.44,0,0.17,1.2,0,5,0,0,0.85,0.0,10,0.0,0.37,0,0,0
47,salaried,low,urban,598,0.16,6,0,292457,467575,1.6,3,0.1,0.0,0,4,0,0,0.83,0.38,23,2.8,0.19,0,0,1
37,self_employed,medium,rural,729,0.53,3,1,714684,89307,0.12,3,0.15,2.4,1,1,1,0,0.78,0.1,1,50.3,0.36,1,0,1
27,self_employed,high,rural,692,0.16,5,2,1521560,160816,0.11,0,0.33,2.9,0,2,1,0,0.78,0.0,17,0.0,0.48,1,0,0
35,business,medium,urban,792,0.66,7,0,657256,269205,0.41,2,0.37,1.0,0,2,0,0,0.67,0.47,0,8.7,0.0,2,0,0
60,self_employed,medium,urban,638,0.32,6,2,683460,237153,0.35,1,0.22,2.6,1,2,0,0,0.88,0.31,10,89.8,0.3,0,0,0
32,self_employed,medium,rural,731,0.32,6,1,483995,5000,0.01,0,0.25,2.0,0,2,0,0,0.94,0.37,7,0.0,0.28,1,1,0
28,salaried,medium,urban,678,0.29,3,0,552897,226173,0.41,0,0.2,1.2,0,1,0,0,0.79,0.29,12,0.0,0.46,2,1,0
22,retired,low,rural,615,0.52,4,0,275292,107647,0.39,0,0.41,1.1,0,4,0,0,0.72,0.61,2,23.0,0.63,2,0,1
64,business,low,urban,628,0.52,4,1,450000,209244,0.46,3,0.37,0.0,0,1,0,0,0.77,0.63,1,0.0,0.26,0,0,0
58,retired,high,urban,628,0.68,7,0,1307267,339866,0.26,0,0.16,0.0,1,2,0,0,0.85,0.17,9,94.6,0.58,2,1,0
46,salaried,high,urban,670,0.17,5,2,1853632,263176,0.14,1,0.24,1.1,0,5,0,0,0.96,0.45,18,175.2,0.0,0,0,0
41,salaried,medium,urban,694,0.38,8,0,921387,34705,0.04,6,0.15,2.8,0,4,0,0,1.0,0.0,6,206.2,0.75,1,1,0
33,self_employed,medium,urban,638,0.44,7,0,781452,78039,0.1,4,0.08,1.6,0,4,0,0,0.88,0.41,22,0.0,0.65,1,1,0
39,business,high,urban,747,0.39,2,0,1000000,185679,0.19,4,0.23,2.6,0,1,0,0,0.92,0.5,12,115.0,0.38,1,1,0
38,business,medium,urban,656,0.2,2,3,684318,153868,0.22,3,0.19,2.9,1,5,0,0,0.9,0.21,16,0.0,0.5,1,0,0
22,salaried,medium,urban,771,0.34,4,0,700779,161937,0.23,2,0.27,1.9,0,2,0,0,0.66,0.62,20,50.8,0.16,0,0,0
65,self_employed,high,urban,696,0.28,1,0,1000000,238808,0.24,1,0.25,3.8,1,5,0,0,0.93,0.15,19,49.3,0.23,1,1,0
62,salaried,high,rural,690,0.37,5,0,1706616,147952,0.09,3,0.19,2.8,0,3,0,0,0.72,0.45,21,0.0,0.32,2,0,0
69,self_employed,medium,urban,649,0.28,5,0,853270,216723,0.25,2,0.09,1.6,1,1,0,0,0.76,0.11,7,55.8,0.07,0,1,0
48,self_employed,medium,rural,749,0.3,4,0,762234,168874,0.22,0,0.18,1.8,0,4,0,0,0.87,0.54,23,100.3,0.31,1,1,0
43,salaried,medium,rural,537,0.53,6,1,708172,178376,0.25,3,0.26,3.8,1,5,0,0,0.76,0.32,5,64.7,0.53,2,1,0
24,self_employed,medium,rural,718,0.09,5,0,718606,178069,0.25,1,0.2,0.0,1,3,0,0,0.74,0.0,13,83.5,0.64,2,0,0
24,salaried,high,urban,734,0.26,2,1,1160033,86343,0.07,4,0.33,0.0,0,2,0,1,0.75,0.0,23,0.0,0.08,0,0,0
32,salaried,medium,urban,744,0.5,11,1,789242,237651,0.3,2,0.43,3.3,0,2,0,1,1.0,0.11,23,29.9,0.31,3,1,1
42,student,low,rural,693,0.26,6,1,391302,5000,0.01,4,0.58,0.9,1,5,0,0,0.68,0.49,19,91.4,0.24,1,1,0
46,salaried,low,urban,900,0.28,4,0,300877,5000,0.02,1,0.17,1.4,0,2,0,0,0.93,0.27,12,97.1,0.12,2,0,0
60,self_employed,low,urban,692,0.43,4,1,291695,135156,0.46,1,0.17,1.8,0,4,0,0,0.79,0.09,16,5.4,0.0,0,0,0
62,retired,high,rural,532,0.41,3,1,1119096,70705,0.06,1,0.07,2.2,0,1,0,0,0.64,0.09,18,30.3,0.58,1,0,0
55,self_employed,low,rural,680,0.4,8,1,307240,45574,0.15,3,0.28,0.9,0,2,0,0,0.97,0.11,1,0.0,0.4,1,1,0
24,salaried,high,urban,695,0.38,3,1,1417621,175909,0.12,2,0.35,0.6,1,3,1,0,0.81,0.04,23,163.8,0.38,1,1,0
32,student,medium,rural,620,0.34,5,0,616038,154923,0.25,3,0.53,2.4,1,1,0,0,0.72,0.0,20,7.6,0.19,1,0,0
24,salaried,medium,rural,802,0.46,5,0,487146,184571,0.38,4,0.14,1.1,2,2,1,0,0.89,0.34,20,72.2,0.05,1,0,0
51,self_employed,medium,urban,659,0.25,4,0,614322,11089,0.02,2,0.14,1.7,0,5,0,0,0.67,0.19,19,54.3,0.44,0,0,0
27,self_employed,low,rural,602,0.41,7,0,298967,109597,0.37,3,0.29,0.0,0,2,0,0,0.66,0.11,14,145.5,0.17,1,0,0
30,self_employed,medium,rural,693,0.38,7,0,734127,200617,0.27,1,0.47,1.6,1,3,0,0,1.0,0.09,23,28.1,0.16,4,0,0
44,salaried,medium,urban,691,0.6,5,0,645475,339052,0.53,2,0.56,0.9,1,5,1,0,0.71,0.48,21,7.8,0.29,4,0,0
35,salaried,low,rural,716,0.17,4,0,258815,233216,0.9,2,0.34,1.5,1,4,0,0,1.0,0.43,18,0.0,0.44,2,0,0
59,self_employed,medium,rural,481,0.24,3,0,742767,165576,0.22,4,0.27,0.4,0,2,0,0,0.83,0.02,14,28.2,0.54,1,1,0
40,self_employed,medium,urban,618,0.17,6,0,914245,10643,0.01,2,0.18,0.9,0,4,0,0,0.77,0.13,17,120.7,0.02,0,0,0
27,business,medium,urban,709,0.52,5,3,574483,247964,0.43,3,0.25,1.9,0,2,0,0,0.99,0.26,8,17.5,0.75,0,1,0
33,business,medium,rural,767,0.46,5,2,930644,82674,0.09,3,0.2,0.8,1,2,0,0,0.87,0.05,15,134.5,0.4,1,0,0
48,retired,low,urban,702,0.16,4,1,150000,253893,1.69,0,0.49,2.5,1,2,1,0,1.0,0.72,16,0.0,0.58,0,1,1
59,salaried,low,rural,619,0.27,6,2,253478,170354,0.67,1,0.52,0.7,1,5,0,0,0.71,0.71,9,0.0,0.61,2,1,0
38,salaried,medium,rural,669,0.6,5,0,965972,156380,0.16,0,0.12,1.8,0,2,0,0,0.75,0.27,22,88.4,0.24,1,0,0
67,salaried,medium,rural,752,0.6,2,0,1000000,108010,0.11,2,0.13,0.1,0,1,0,0,0.67,0.39,20,134.7,0.2,1,1,0
31,self_employed,medium,urban,737,0.28,8,1,873734,178440,0.2,3,0.11,2.6,1,2,0,0,0.84,0.2,23,0.0,0.56,1,1,0
56,salaried,high,rural,735,0.27,3,0,2074564,151787,0.07,0,0.06,2.0,1,1,0,0,0.87,0.41,18,162.7,0.0,1,1,0
56,self_employed,medium,rural,779,0.55,9,0,1000000,192230,0.19,0,0.45,1.6,0,2,1,0,0.6,0.07,5,1.6,0.08,1,1,0
22,self_employed,low,urban,795,0.38,4,3,269522,9361,0.03,3,0.34,2.6,1,5,0,0,0.91,1.0,23,0.0,0.21,2,0,0
68,salaried,medium,urban,595,0.32,5,1,820290,421452,0.51,0,0.19,1.1,0,1,0,0,1.0,0.59,16,31.5,0.04,1,1,0
66,business,low,urban,630,0.36,5,1,211543,198031,0.94,0,0.24,0.4,0,2,0,0,0.76,0.35,16,0.0,0.42,1,0,0
37,salaried,high,rural,776,0.37,6,1,1517295,10244,0.01,1,0.18,1.0,1,3,0,0,1.0,0.25,4,46.2,0.39,3,0,0
26,salaried,low,urban,563,0.17,6,2,449278,399696,0.89,2,0.03,1.1,0,3,0,0,0.81,0.23,10,49.5,0.11,1,0,0
61,salaried,medium,urban,754,0.16,6,1,1000000,179082,0.18,4,0.06,1.6,1,3,1,0,0.94,0.44,16,107.2,0.62,1,1,0
66,student,medium,urban,567,0.24,3,0,843868,119494,0.14,5,0.18,2.0,0,3,0,0,0.82,0.51,8,43.5,0.57,1,0,0
43,self_employed,low,urban,765,0.25,4,3,315939,341867,1.08,4,0.15,2.8,0,4,0,0,0.72,0.31,23,2.5,0.38,2,0,0
67,self_employed,low,urban,688,0.3,4,2,276758,148276,0.54,3,0.51,1.9,1,5,3,0,0.9,0.0,13,22.0,0.61,0,1,0
36,salaried,high,rural,692,0.38,4,1,1248818,97180,0.08,4,0.25,0.5,0,3,0,0,0.71,0.31,4,0.0,0.39,2,0,0
61,salaried,medium,rural,708,0.41,6,2,744442,155166,0.21,3,0.39,2.0,0,1,0,0,0.89,0.47,6,0.0,0.75,0,1,0
46,business,medium,urban,610,0.6,2,0,815347,5000,0.01,2,0.55,1.4,1,3,0,0,0.66,0.22,17,150.1,0.43,1,1,0
66,salaried,low,rural,779,0.37,2,0,353484,104221,0.29,1,0.41,0.5,1,5,0,0,1.0,0.26,18,0.0,0.36,3,0,0
21,business,medium,urban,769,0.14,6,1,699380,5000,0.01,2,0.35,0.0,1,3,0,0,0.84,0.0,14,62.8,0.48,0,0,0
56,salaried,medium,urban,531,0.33,7,0,587603,342783,0.58,1,0.3,1.6,0,5,0,0,0.95,0.14,18,120.5,0.41,2,1,0
50,business,medium,rural,822,0.35,7,0,619329,5000,0.01,1,0.02,1.0,1,1,0,0,1.0,0.53,17,47.6,0.0,3,0,0
22,salaried,medium,urban,610,0.32,6,1,1000000,70070,0.07,2,0.45,0.0,0,2,1,0,0.83,0.26,18,149.4,0.19,1,0,0
40,business,low,rural,576,0.36,4,1,325589,5000,0.02,1,0.43,0.2,2,3,0,0,0.7,0.16,12,87.2,0.91,0,0,0
25,self_employed,low,urban,586,0.4,10,0,306740,5000,0.02,4,0.08,0.8,0,2,0,0,0.92,0.33,21,130.2,0.38,1,0,0
51,retired,high,urban,732,0.39,3,1,1433745,11734,0.01,0,0.34,2.2,2,1,0,0,0.85,0.1,13,0.0,0.37,0,1,0
28,salaried,low,rural,431,0.36,4,0,209745,309618,1.48,1,0.17,1.9,0,2,0,0,0.98,0.33,6,66.0,0.47,2,0,0
50,salaried,high,urban,640,0.65,8,0,1882642,313527,0.17,6,0.52,2.5,1,1,0,0,0.85,0.0,3,71.7,0.0,1,1,0
59,salaried,low,urban,635,0.2,2,1,325560,306460,0.94,0,0.27,0.1,2,1,0,0,0.86,0.22,18,73.7,0.39,0,0,1
22,salaried,medium,rural,647,0.32,6,1,665471,116013,0.17,0,0.2,0.6,0,2,0,0,0.77,0.54,0,92.3,0.37,2,0,0
33,business,medium,urban,570,0.25,5,1,854357,380991,0.45,2,0.49,2.4,0,5,1,0,0.83,0.37,21,68.7,0.17,2,1,0
24,self_employed,medium,urban,677,0.45,3,0,767445,72383,0.09,1,0.49,0.0,0,3,0,0,0.98,0.0,3,65.4,0.2,2,1,0
65,self_employed,low,rural,685,0.13,6,1,321016,462741,1.44,2,0.24,0.2,0,4,0,0,0.83,0.25,2,182.6,0.19,1,0,1
28,salaried,medium,urban,643,0.41,7,0,734454,11248,0.02,6,0.45,0.0,1,3,0,0,0.75,0.11,11,21.9,0.95,2,0,0
59,salaried,low,rural,762,0.16,4,0,297148,5000,0.02,0,0.13,2.1,1,4,0,0,0.82,0.16,10,26.2,0.14,0,0,0
45,salaried,low,rural,605,0.3,3,0,420694,209067,0.5,2,0.15,2.3,0,4,0,0,1.0,0.21,10,66.5,0.13,2,0,0
27,salaried,low,urban,662,0.53,1,0,329517,288630,0.88,2,0.32,0.7,0,2,0,0,0.81,0.39,5,80.6,0.21,2,1,1
34,retired,low,urban,708,0.38,8,0,342821,242429,0.71,0,0.33,1.6,3,1,0,0,0.8,0.0,22,0.0,0.36,0,0,0
49,student,medium,rural,559,0.5,4,1,852048,97685,0.11,1,0.38,2.4,0,3,0,1,0.97,0.79,9,76.1,0.22,2,0,1
65,salaried,medium,urban,519,0.34,0,0,779034,126470,0.16,1,0.26,0.8,1,3,0,0,0.63,0.8,8,0.0,0.29,1,1,0
41,salaried,low,urban,695,0.51,4,0,450000,273433,0.61,2,0.18,0.5,0,2,0,0,0.86,0.46,6,10.1,0.42,2,0,0
57,salaried,low,rural,745,0.7,4,1,290988,80133,0.28,0,0.42,1.7,1,5,0,0,0.83,0.49,6,152.3,0.25,1,1,0
69,self_employed,low,urban,813,0.33,4,2,323282,164737,0.51,2,0.25,0.0,0,5,1,0,0.84,0.4,14,0.0,0.79,1,0,0
53,business,low,urban,674,0.57,10,0,386987,276398,0.71,3,0.24,2.3,2,3,0,0,0.99,0.02,3,0.0,0.48,1,1,0
61,salaried,medium,urban,682,0.25,6,1,742828,256590,0.35,2,0.04,0.8,1,2,0,0,0.9,0.12,3,76.4,0.29,2,0,0
45,self_employed,high,urban,625,0.05,2,1,2027519,202943,0.1,2,0.2,1.0,0,4,0,0,0.74,0.74,21,16.4,0.28,0,1,0
66,student,low,urban,705,0.39,4,0,450000,407359,0.91,0,0.16,1.6,0,2,0,0,1.0,0.52,12,122.4,0.0,2,1,0
34,self_employed,medium,rural,585,0.41,3,0,667308,70782,0.11,4,0.3,0.5,1,5,0,0,0.93,0.0,8,61.4,0.0,3,0,0
29,salaried,medium,urban,723,0.53,7,0,875939,104073,0.12,3,0.08,0.6,1,2,0,0,0.85,0.41,2,85.0,0.1,1,0,0
35,self_employed,medium,urban,671,0.47,5,1,789648,123351,0.16,1,0.34,0.5,0,1,0,0,0.78,0.4,11,0.0,0.13,1,0,0
27,salaried,low,urban,618,0.3,3,0,257535,5000,0.02,3,0.13,2.0,2,4,0,0,0.73,0.35,0,167.9,0.18,1,1,0
22,business,low,rural,714,0.25,1,0,396787,198873,0.5,2,0.31,0.5,1,2,0,0,1.0,0.46,18,0.0,0.46,0,0,0
51,salaried,low,rural,731,0.61,5,1,346827,249623,0.72,4,0.56,3.3,0,5,0,0,0.73,0.0,22,21.4,0.0,2,1,0
27,salaried,low,urban,849,0.56,9,1,299652,5000,0.02,2,0.25,2.3,0,5,0,1,0.89,0.3,4,19.8,0.31,0,0,0
61,salaried,high,urban,692,0.43,8,1,1584220,325292,0.21,3,0.15,1.5,2,4,0,0,0.87,0.59,13,198.1,0.93,1,0,0
31,salaried,high,rural,660,0.41,11,1,1632603,226370,0.14,1,0.14,1.0,0,5,0,0,0.79,0.46,3,113.6,0.16,1,1,0
33,salaried,high,urban,703,0.29,4,0,1512034,188334,0.12,3,0.35,2.7,0,2,0,0,0.9,0.49,21,168.2,0.08,1,0,0
33,salaried,medium,urban,703,0.25,7,0,772081,222585,0.29,0,0.33,0.6,1,3,1,0,0.84,0.7,0,0.0,0.38,1,0,0
46,self_employed,medium,urban,682,0.13,8,0,628572,299197,0.48,5,0.25,2.0,0,5,0,0,0.73,0.35,4,0.0,0.0,1,0,0
63,student,high,urban,868,0.27,2,0,1345283,213229,0.16,3,0.38,0.0,1,1,0,0,0.74,0.17,3,162.0,0.2,3,0,1
28,salaried,medium,rural,779,0.19,12,1,641798,318264,0.5,1,0.08,0.5,0,3,0,1,1.0,0.48,13,88.8,0.16,3,0,0
34,salaried,low,urban,753,0.5,6,3,238292,444126,1.86,2,0.29,0.3,0,1,0,0,0.8,0.05,15,93.4,0.17,1,0,0
65,business,low,urban,693,0.42,6,0,259609,147054,0.57,0,0.16,2.8,0,3,0,0,0.77,0.76,1,65.8,0.62,2,0,1
22,self_employed,medium,rural,693,0.4,5,1,927631,187200,0.2,1,0.41,1.4,2,4,0,0,1.0,0.56,12,0.0,0.51,0,0,0
62,salaried,low,rural,641,0.36,5,2,318832,120262,0.38,7,0.2,1.1,0,2,0,1,0.96,0.42,16,36.1,0.19,1,0,0
35,business,high,urban,562,0.48,4,0,1438632,257609,0.18,2,0.38,2.0,2,1,1,0,0.83,0.28,1,113.5,0.0,1,0,0
44,retired,medium,urban,676,0.35,7,1,723858,67950,0.09,2,0.23,1.0,0,3,0,0,0.73,0.09,4,13.3,0.13,2,0,0
54,self_employed,low,urban,680,0.22,5,0,268657,139219,0.52,2,0.39,0.3,0,1,0,0,0.89,0.0,18,0.0,0.19,2,1,0
24,self_employed,medium,urban,648,0.28,2,1,714061,263733,0.37,1,0.54,1.0,0,3,0,0,0.93,0.48,22,112.5,0.0,3,0,0
38,business,low,rural,762,0.48,8,1,279148,548238,1.96,3,0.5,1.4,2,5,0,0,0.76,0.53,22,0.0,0.85,0,1,0
45,salaried,medium,urban,709,0.77,7,1,966324,104991,0.11,1,0.09,0.6,1,5,0,0,1.0,0.43,6,71.7,0.2,0,1,0
67,salaried,high,rural,693,0.41,4,0,1637618,154361,0.09,1,0.1,3.0,0,4,0,1,0.78,0.0,15,120.3,0.2,2,1,0
44,salaried,medium,urban,714,0.48,2,1,804974,158077,0.2,3,0.05,0.9,0,3,0,0,0.73,0.36,3,47.7,0.0,0,0,0
26,retired,medium,urban,590,0.28,9,4,759177,245586,0.32,1,0.15,0.8,0,4,0,0,1.0,0.01,22,33.7,0.49,1,0,0
54,salaried,medium,urban,657,0.15,8,1,820624,243292,0.3,0,0.47,1.5,1,5,0,0,0.77,0.59,8,71.6,0.0,0,0,0
58,salaried,low,rural,604,0.25,6,0,257526,472201,1.83,3,0.26,1.3,0,5,0,0,0.78,0.31,20,115.7,0.0,0,0,0
23,self_employed,low,rural,755,0.53,7,1,373609,293599,0.79,2,0.32,2.5,1,2,1,0,0.93,0.08,21,0.0,0.54,2,0,0
39,salaried,medium,urban,632,0.5,7,3,693536,373037,0.54,1,0.23,3.4,1,1,1,0,0.85,0.0,0,16.2,0.12,0,0,1
67,student,high,rural,581,0.33,6,0,1568246,106188,0.07,2,0.35,1.2,1,3,0,0,1.0,0.56,6,12.7,0.44,0,1,0
