age,occupation_type,income_range,urban_or_rural,credit_score,debt_to_income_ratio,premium_payment_delay_days,policy_lapse_count,annual_income,claim_amount,claim_amount_vs_income_ratio,total_previous_claims,high_value_claim_ratio,claim_frequency_last_3yrs,previous_claim_rejection_count,multi_policy_count,legal_dispute_count,previous_fraud_flag,identity_verification_score,document_mismatch_score,claim_submission_hour,geo_distance_from_registered_address,device_risk_score,IP_address_change_count,claim_submission_weekend_flag,fraud_label
42,salaried,low,rural,707,0.42,5,3,357030,202658,0.57,3,0.33,0.8,0,4,0,0,0.62,0.2,7,93.7,0.02,1,0,0
64,salaried,high,urban,893,0.15,4,1,1654415,291547,0.18,5,0.31,1.7,1,3,0,0,0.9,0.24,17,0.0,0.73,0,1,0
45,salaried,medium,urban,696,0.37,4,0,686416,553188,0.81,1,0.74,1.0,0,4,0,0,0.95,0.3,4,104.7,0.36,2,0,1
69,student,medium,rural,575,0.3,6,0,738929,133055,0.18,1,0.15,0.0,1,1,0,0,0.87,0.0,8,0.0,0.0,1,1,0
47,self_employed,low,urban,666,0.2,1,1,370560,239635,0.65,0,0.2,1.3,0,2,0,0,0.63,0.06,17,3.4,0.98,1,0,0
62,salaried,low,urban,658,0.55,6,0,343397,291894,0.85,1,0.12,0.7,1,3,0,0,0.63,0.66,10,145.0,0.32,2,0,1
48,salaried,high,urban,661,0.35,10,0,1466754,196799,0.13,1,0.3,1.9,0,2,0,0,0.84,0.47,14,0.0,0.54,1,0,0
36,salaried,medium,rural,746,0.5,2,0,669506,267844,0.4,4,0.49,1.3,1,2,0,0,1.0,0.13,12,37.6,0.35,0,0,0
35,salaried,low,rural,759,0.17,6,1,241509,128803,0.53,1,0.26,1.9,0,2,0,0,1.0,0.08,10,78.0,0.36,0,0,0
67,salaried,low,urban,672,0.44,4,1,305970,158587,0.52,2,0.16,0.5,0,1,0,0,0.86,0.4,6,45.4,0.11,1,0,0
64,salaried,medium,urban,582,0.51,4,0,743779,29380,0.04,1,0.31,2.2,1,4,0,0,0.8,0.65,17,94.8,0.92,0,0,1
23,business,medium,rural,686,0.31,6,1,822744,135151,0.16,5,0.14,1.6,0,1,0,0,0.62,0.23,0,91.1,0.17,1,0,0
57,retired,low,urban,641,0.28,5,0,294303,5000,0.02,2,0.22,2.0,0,3,0,0,0.8,0.25,13,1.8,0.16,0,1,0
27,salaried,high,urban,694,0.15,2,0,1390290,5000,0.0,4,0.26,0.8,0,4,0,0,0.75,0.54,9,77.9,0.22,2,1,0
41,salaried,low,urban,671,0.22,5,4,336654,285959,0.85,4,0.49,1.1,0,2,0,0,1.0,0.17,8,23.0,0.25,1,0,0
29,business,medium,rural,765,0.28,3,0,741890,24872,0.03,3,0.26,1.1,1,1,0,0,0.85,0.3,19,57.1,0.27,0,0,0
59,salaried,medium,urban,699,0.2,2,2,821477,292378,0.36,2,0.31,0.8,0,4,0,0,0.79,0.28,22,2.1,0.31,1,0,0
38,salaried,low,rural,642,0.23,4,1,325254,160987,0.49,2,0.28,0.6,1,4,0,0,0.82,0.0,15,173.9,0.12,1,0,0
24,student,high,urban,583,0.37,4,1,1303801,161256,0.12,0,0.28,0.1,1,4,0,0,0.84,0.37,19,16.6,0.39,0,0,0
45,salaried,medium,rural,676,0.39,2,1,723176,91096,0.13,4,0.18,0.5,2,2,1,0,0.9,0.0,22,0.0,0.55,0,1,0
34,self_employed,medium,rural,676,0.51,6,1,697596,176337,0.25,3,0.35,1.0,0,1,0,0,1.0,0.18,21,94.9,0.03,1,0,0
29,self_employed,low,urban,661,0.24,6,1,280552,364965,1.3,3,0.28,0.0,0,2,0,0,0.73,0.0,5,33.5,0.85,1,0,1
46,salaried,low,urban,734,0.35,4,1,308220,93167,0.3,0,0.05,2.2,0,2,0,0,0.63,0.22,6,93.8,0.0,2,0,0
22,salaried,low,urban,583,0.29,6,1,341338,138381,0.41,3,0.03,2.5,0,2,0,0,0.71,0.5,3,24.2,0.27,1,1,0
40,business,medium,urban,626,0.28,2,0,696816,274539,0.39,2,0.09,0.6,1,1,0,0,0.82,0.3,3,0.0,0.19,1,1,0
48,salaried,medium,rural,683,0.3,3,1,842194,41219,0.05,0,0.22,2.0,0,1,0,0,0.79,0.0,19,104.1,0.42,0,0,0
67,salaried,high,urban,640,0.32,1,0,1602734,30036,0.02,2,0.31,0.7,0,1,1,0,0.71,0.52,23,0.0,0.28,2,1,0
27,business,medium,rural,655,0.39,4,0,681847,174207,0.26,3,0.29,0.2,0,1,0,0,1.0,0.03,6,0.0,0.06,0,0,0
64,self_employed,high,urban,675,0.3,5,0,1365679,323914,0.24,0,0.06,1.9,0,3,0,0,0.98,0.13,4,30.7,0.41,1,0,0
28,salaried,medium,urban,728,0.53,4,0,587203,169517,0.29,8,0.11,2.4,0,2,0,0,0.75,0.52,4,4.6,0.47,1,0,0
67,student,low,urban,672,0.09,6,0,268718,146994,0.55,3,0.25,1.0,0,1,0,0,0.85,0.26,8,0.0,0.32,1,0,0
55,salaried,low,urban,542,0.51,4,1,313466,175919,0.56,0,0.14,1.9,0,1,0,0,0.95,0.48,22,0.0,0.19,2,1,0
34,business,medium,urban,637,0.29,5,0,722553,169200,0.23,2,0.17,0.0,0,2,0,1,0.92,0.25,20,87.5,0.76,1,1,1
37,business,low,rural,714,0.32,6,1,267163,102320,0.38,2,0.4,0.4,1,4,0,0,0.88,0.46,13,117.8,0.93,2,0,0
56,self_employed,low,urban,733,0.35,3,1,325065,291673,0.9,0,0.09,1.7,0,2,0,0,0.74,0.26,10,1.8,0.04,0,1,0
60,self_employed,medium,urban,737,0.46,4,1,1000000,206939,0.21,6,0.41,2.2,0,2,0,0,0.93,0.23,4,109.4,0.69,2,0,0
24,retired,high,rural,757,0.22,8,0,1665526,118618,0.07,1,0.04,1.3,0,4,0,0,0.92,0.59,0,60.9,0.6,2,0,0
22,salaried,low,rural,688,0.25,4,1,262321,187654,0.72,3,0.34,0.8,0,1,0,0,0.85,0.38,7,76.8,0.56,1,0,0
26,business,medium,urban,698,0.43,7,0,703101,140922,0.2,1,0.27,1.7,0,3,0,0,0.79,0.12,2,73.8,0.0,2,0,0
62,salaried,high,urban,609,0.1,4,1,1343351,9499,0.01,2,0.16,1.4,1,4,0,1,0.85,0.08,12,9.3,0.34,0,0,0
24,salaried,medium,urban,527,0.34,5,1,793172,440146,0.55,1,0.21,0.7,0,3,1,0,0.85,0.59,22,0.0,0.72,1,0,0
49,salaried,low,rural,580,0.23,2,0,292433,195831,0.67,4,0.38,0.0,0,4,0,0,0.56,0.12,14,30.1,0.0,0,0,0
38,retired,low,rural,630,0.2,9,2,320331,60296,0.19,3,0.38,0.8,0,3,0,0,0.73,0.33,16,31.7,0.43,0,0,0
46,retired,medium,rural,584,0.1,1,1,465980,42470,0.09,0,0.14,1.5,0,3,0,0,0.78,0.41,1,90.8,0.12,1,0,1
64,salaried,medium,rural,659,0.47,5,1,778861,5000,0.01,1,0.43,1.1,1,4,0,0,0.78,0.06,13,57.4,0.69,1,1,0
54,salaried,high,urban,647,0.37,4,0,1474761,91745,0.06,1,0.04,2.6,0,2,0,1,0.69,0.11,5,45.2,0.76,1,0,0
30,business,medium,rural,745,0.25,3,0,662710,37688,0.06,3,0.1,2.0,0,3,0,0,0.66,0.28,21,69.4,0.52,0,0,0
56,salaried,low,urban,612,0.33,7,1,368434,153856,0.42,0,0.05,0.1,1,3,0,0,0.85,0.18,5,0.0,0.3,0,0,0
34,salaried,low,urban,689,0.19,4,1,307637,376902,1.23,1,0.23,0.5,0,3,0,0,0.96,0.55,22,70.3,0.27,2,0,0
51,self_employed,medium,urban,650,0.27,3,0,644501,95778,0.15,5,0.03,0.0,0,3,0,0,0.76,0.31,17,52.3,0.27,1,0,0
68,self_employed,low,rural,609,0.32,6,0,322317,571772,1.77,2,0.67,0.6,1,4,0,0,0.94,0.0,8,243.3,0.25,0,0,1
35,retired,low,rural,629,0.36,4,1,302499,258618,0.85,5,0.08,0.0,2,2,1,0,0.82,0.32,17,0.0,0.28,0,1,1
28,salaried,medium,urban,536,0.41,3,0,782834,443460,0.57,0,0.16,2.0,0,4,1,0,0.98,0.29,16,64.5,0.56,1,1,0
34,salaried,low,rural,732,0.08,6,1,364034,24576,0.07,1,0.33,1.1,0,4,0,0,0.89,0.48,6,1.9,0.13,0,0,0
43,self_employed,low,rural,778,0.41,6,0,210140,95939,0.46,0,0.12,2.8,0,4,0,0,0.8,0.03,21,48.6,0.55,1,0,0
60,business,medium,urban,661,0.09,3,0,721613,102308,0.14,0,0.06,0.0,0,2,0,0,1.0,0.67,13,114.4,1.0,1,0,0
41,self_employed,low,urban,682,0.41,6,0,411260,170841,0.42,2,0.21,0.2,1,1,0,0,0.8,0.15,11,144.3,0.38,1,0,0
36,self_employed,low,rural,659,0.32,6,0,306335,261623,0.85,2,0.1,1.1,0,2,0,0,0.87,0.44,16,0.8,0.49,0,1,0
65,salaried,medium,urban,622,0.51,2,0,850449,5000,0.01,2,0.27,0.5,1,3,1,0,0.95,0.36,12,26.4,0.0,4,0,0
38,business,high,urban,729,0.25,8,0,1000000,284368,0.28,2,0.04,0.5,0,4,0,0,0.75,0.55,9,0.0,0.42,0,0,0
67,salaried,low,rural,702,0.47,3,2,282952,95927,0.34,2,0.31,0.5,2,4,0,0,0.7,0.08,16,133.1,0.25,1,1,0
44,salaried,medium,rural,476,0.17,10,1,782718,398806,0.51,6,0.41,1.5,0,4,0,0,0.89,0.27,0,2.4,0.63,0,0,1
46,self_employed,medium,rural,607,0.37,4,1,537764,222362,0.41,4,0.03,1.1,0,4,0,0,0.89,0.25,22,0.0,0.72,1,1,0
45,salaried,medium,rural,536,0.05,4,2,592132,330435,0.56,2,0.18,0.9,0,1,0,0,0.78,0.18,15,49.4,0.39,2,0,0
65,salaried,high,urban,788,0.48,3,1,1618143,125279,0.08,1,0.2,0.0,0,1,0,0,0.9,0.0,22,0.0,0.13,2,1,0
61,student,medium,urban,667,0.61,8,1,529754,245902,0.46,2,0.49,0.6,0,4,0,0,0.92,0.49,14,0.0,0.13,1,1,0
49,self_employed,high,urban,696,0.25,7,0,1320508,123502,0.09,2,0.26,0.0,2,2,1,0,0.74,0.27,13,0.0,0.0,0,0,0
35,business,low,urban,655,0.37,8,0,282431,253099,0.9,0,0.34,1.4,1,1,0,0,0.97,0.56,10,109.5,0.2,1,1,0
65,salaried,low,rural,757,0.42,3,0,244030,208656,0.86,1,0.25,2.3,0,2,0,0,0.73,0.0,2,133.7,0.17,0,0,1
21,business,high,urban,740,0.12,6,0,1201079,363928,0.3,4,0.26,0.8,2,1,0,0,0.94,0.19,12,67.3,0.66,1,0,0
45,salaried,medium,urban,664,0.24,6,0,594409,292804,0.49,0,0.24,0.0,0,3,0,0,1.0,0.18,8,29.9,0.68,2,0,0
27,salaried,low,urban,800,0.23,7,0,272638,237053,0.87,1,0.3,0.4,0,3,0,0,0.89,0.14,7,0.0,0.84,0,1,1
29,retired,medium,rural,692,0.71,3,0,674141,202820,0.3,0,0.06,0.6,0,3,0,0,0.78,0.22,21,17.6,0.13,1,0,0
44,business,high,urban,577,0.51,8,1,1527631,189222,0.12,1,0.26,1.8,0,1,0,0,0.99,0.29,4,58.4,0.14,0,0,1
21,self_employed,high,urban,687,0.32,8,0,1499338,5000,0.0,3,0.18,0.7,1,2,1,0,0.86,0.16,1,75.5,0.06,0,0,0
64,salaried,low,urban,716,0.47,5,0,300460,44372,0.15,3,0.51,2.6,1,1,1,0,0.87,0.29,6,75.1,0.75,1,0,0
28,student,high,rural,670,0.38,11,0,1466774,71571,0.05,0,0.11,0.0,0,3,0,0,0.99,0.14,10,65.1,0.51,1,0,0
44,self_employed,low,urban,651,0.44,2,1,354929,379029,1.07,1,0.18,0.0,0,1,0,0,1.0,0.51,10,65.2,0.76,1,0,1
31,business,low,urban,803,0.19,3,0,307412,116099,0.38,0,0.33,2.0,1,3,1,0,0.95,0.3,23,61.4,0.42,3,0,0
37,business,medium,urban,596,0.56,4,0,636094,126102,0.2,0,0.34,1.4,0,3,0,0,0.91,0.33,16,71.2,0.65,3,0,0
28,salaried,low,rural,486,0.23,4,0,234377,253203,1.08,0,0.22,2.0,0,2,0,0,0.77,0.0,20,0.0,0.24,1,0,1
55,salaried,low,urban,793,0.24,8,1,262871,69870,0.27,1,0.25,1.2,0,4,0,1,0.87,0.37,4,0.0,0.35,1,0,1
55,self_employed,medium,urban,594,0.44,4,1,892651,349476,0.39,1,0.31,2.1,0,3,0,0,0.97,0.42,21,95.5,0.13,1,0,0
53,salaried,low,urban,659,0.4,9,1,222018,5000,0.02,2,0.13,2.0,0,2,0,0,0.87,0.45,5,47.6,0.33,3,0,0
25,salaried,low,urban,653,0.35,8,1,316396,328175,1.04,1,0.19,0.8,0,4,0,0,1.0,0.0,15,100.0,0.14,0,0,0
62,retired,low,rural,766,0.48,4,0,209285,402732,1.92,1,0.13,1.1,0,1,0,0,1.0,0.41,7,93.1,0.5,2,0,0
59,self_employed,medium,urban,780,0.18,7,0,1000000,221119,0.22,1,0.44,0.0,0,4,0,0,1.0,0.36,5,6.6,0.32,2,0,0
61,business,medium,rural,589,0.63,2,0,541246,96567,0.18,1,0.4,1.8,0,4,0,0,0.95,0.25,21,109.5,0.42,0,0,0
48,self_employed,medium,rural,774,0.27,6,1,638957,293970,0.46,0,0.09,0.5,0,2,0,0,0.76,0.27,10,124.1,0.63,0,1,0
27,self_employed,medium,urban,773,0.34,7,0,450000,90639,0.2,5,0.38,1.8,0,2,1,0,0.77,0.25,4,31.9,0.34,1,0,0
29,salaried,medium,rural,681,0.63,5,0,678525,433381,0.64,1,0.21,1.5,0,3,1,0,0.84,0.15,7,118.4,0.25,5,0,0
28,salaried,high,rural,745,0.24,8,1,1000000,248087,0.25,1,0.1,1.1,0,4,0,0,0.72,0.01,6,18.4,0.07,1,0,0
32,salaried,low,rural,752,0.5,5,0,308156,70032,0.23,0,0.32,2.1,0,3,0,0,0.84,0.04,7,71.4,0.19,1,0,0
54,salaried,low,urban,662,0.32,6,0,238630,279493,1.17,5,0.15,1.0,0,2,0,0,0.79,0.2,17,94.9,0.08,1,0,0
53,business,high,urban,668,0.22,3,1,1222619,56012,0.05,2,0.56,2.2,1,3,0,0,0.91,0.27,22,10.7,0.63,1,0,0
68,salaried,medium,urban,721,0.29,5,0,665230,85134,0.13,2,0.34,0.7,0,4,0,0,0.81,0.68,6,33.4,0.34,0,0,0
43,self_employed,high,rural,566,0.43,5,1,1029211,272775,0.27,2,0.1,2.3,0,1,0,0,0.93,0.38,4,7.7,0.6,1,0,0
44,salaried,medium,urban,655,0.5,3,2,685388,95740,0.14,4,0.28,2.0,1,1,0,0,0.72,0.25,5,29.7,0.33,1,0,0
57,salaried,medium,urban,595,0.38,7,2,668654,194842,0.29,2,0.31,0.4,0,3,0,0,0.68,0.2,13,123.6,0.54,0,0,0
55,salaried,medium,urban,779,0.11,5,2,491626,249407,0.51,0,0.13,1.4,0,2,0,0,0.82,0.2,18,30.7,0.35,0,0,0
64,salaried,medium,urban,654,0.45,6,1,735609,99239,0.13,1,0.3,0.0,1,1,0,1,0.96,0.32,9,43.5,0.28,2,0,0
60,salaried,medium,urban,699,0.33,3,1,877109,114624,0.13,0,0.26,1.0,0,4,1,0,0.9,0.12,14,77.1,0.59,0,0,0
42,salaried,medium,urban,664,0.18,5,0,549221,386112,0.7,1,0.21,0.0,0,2,0,0,0.86,0.29,6,0.0,0.26,3,0,0
47,salaried,medium,urban,660,0.4,4,2,810861,261766,0.32,6,0.2,1.3,1,1,0,0,0.97,0.0,7,0.0,0.35,0,0,0
55,business,high,rural,694,0.52,2,1,1702366,178750,0.11,2,0.29,2.6,1,4,0,0,0.93,0.28,10,12.0,0.6,3,0,0
21,salaried,low,urban,628,0.35,5,1,265429,169749,0.64,2,0.11,4.1,1,1,0,0,1.0,0.05,2,12.9,0.0,3,0,0
55,salaried,low,rural,666,0.49,6,0,303465,36816,0.12,1,0.33,1.9,1,3,1,0,0.82,0.0,10,14.5,0.3,2,1,0
57,self_employed,medium,urban,665,0.42,3,0,668045,237333,0.36,1,0.32,1.5,0,4,1,1,0.92,0.35,20,93.4,0.8,2,1,0
67,salaried,medium,urban,650,0.42,6,1,753503,193448,0.26,1,0.25,0.8,0,3,0,0,0.97,0.18,14,0.0,0.71,0,0,0
34,student,high,rural,707,0.3,6,0,1339479,290024,0.22,1,0.37,0.0,0,4,0,0,0.79,0.2,10,132.3,0.48,0,1,0
23,self_employed,low,rural,648,0.47,4,4,211660,5000,0.02,2,0.05,0.5,0,2,0,1,0.92,0.02,18,109.4,0.15,0,0,0
21,salaried,medium,urban,792,0.49,5,0,783657,155923,0.2,1,0.27,0.6,1,3,0,0,0.99,0.26,18,0.0,0.6,1,0,0
25,self_employed,medium,rural,724,0.47,3,2,591928,169509,0.29,2,0.16,2.1,0,3,0,0,0.91,0.31,14,54.7,0.11,2,0,0
46,salaried,medium,rural,585,0.3,3,0,678293,220627,0.33,2,0.2,0.0,0,4,0,0,0.69,0.53,2,0.0,0.45,2,1,1
34,self_employed,high,rural,718,0.5,4,1,1267867,207908,0.16,0,0.74,1.2,0,3,0,0,0.95,0.41,9,47.0,0.54,1,0,0
59,salaried,low,urban,631,0.41,3,0,311987,243151,0.78,0,0.13,1.6,0,4,0,0,0.95,0.29,13,0.0,0.75,2,0,0
47,student,medium,urban,689,0.2,5,0,479448,156530,0.33,1,0.3,2.6,0,1,2,0,0.66,0.3,4,6.5,0.49,0,1,0
29,salaried,high,urban,628,0.29,7,1,1223362,30288,0.02,0,0.22,0.3,1,4,0,0,0.88,0.46,18,23.8,0.44,0,0,0
35,self_employed,high,rural,526,0.27,5,0,1532486,5000,0.0,1,0.2,0.9,1,2,0,0,0.93,0.17,13,56.3,0.27,1,0,0
35,self_employed,medium,urban,678,0.05,6,0,715298,172580,0.24,2,0.29,1.7,0,2,1,0,0.98,0.17,11,35.7,0.09,2,0,0
46,salaried,medium,rural,579,0.5,1,2,1000000,539803,0.54,4,0.35,0.5,0,4,1,0,0.82,0.0,9,42.4,0.09,0,1,0
62,salaried,low,urban,709,0.82,2,2,304327,249952,0.82,1,0.12,1.1,0,4,0,1,0.88,0.02,5,105.2,0.31,2,1,0
33,business,medium,urban,692,0.53,7,0,683525,484760,0.71,2,0.14,0.8,0,2,0,0,0.62,0.4,11,79.2,0.58,1,0,0
52,business,high,urban,637,0.37,10,1,1523404,263387,0.17,2,0.28,0.5,0,3,0,1,0.97,0.29,20,51.4,0.0,2,0,0
59,salaried,medium,rural,807,0.27,4,0,673391,53584,0.08,3,0.01,2.4,2,2,1,0,0.77,0.0,22,23.2,0.47,0,1,0
69,business,low,urban,593,0.21,6,1,287966,164624,0.57,2,0.23,2.3,1,2,0,0,0.92,0.41,3,134.3,0.66,1,1,0
52,retired,low,rural,636,0.37,6,1,171006,484133,2.83,3,0.42,1.8,0,1,0,0,0.72,0.09,18,83.5,0.29,2,1,0
24,student,low,urban,601,0.5,6,1,316055,273007,0.86,2,0.13,0.9,2,4,0,0,0.92,0.32,7,0.0,0.0,0,0,0
50,salaried,low,rural,822,0.25,8,0,239045,269436,1.13,2,0.4,1.6,1,2,0,0,0.87,0.29,0,68.1,0.19,0,1,1
57,business,low,rural,774,0.73,4,0,326383,96918,0.3,4,0.28,1.7,2,3,0,0,0.83,0.41,15,73.7,0.22,3,0,0
43,salaried,medium,rural,580,0.14,9,2,697655,180683,0.26,1,0.15,2.8,0,1,0,0,0.5,0.0,1,75.6,0.23,1,0,0
59,retired,low,rural,622,0.38,3,0,196327,51587,0.26,2,0.14,0.0,0,1,0,0,0.73,0.04,8,43.9,0.0,2,0,0
65,self_employed,low,urban,624,0.36,7,1,296218,127787,0.43,5,0.26,0.1,0,1,0,0,0.88,0.56,5,161.7,0.22,3,0,0
35,salaried,medium,urban,641,0.35,6,0,777906,199088,0.26,0,0.19,1.0,1,4,0,0,0.71,0.59,6,62.4,0.63,0,0,0
63,business,low,urban,607,0.26,6,1,382697,106038,0.28,2,0.09,1.4,0,2,0,0,0.83,0.38,1,0.0,0.0,1,0,0
49,salaried,low,urban,637,0.36,4,0,179856,294826,1.64,3,0.12,0.1,0,4,1,0,0.77,0.01,1,0.0,0.26,0,1,1
56,retired,low,rural,750,0.28,5,2,250207,110649,0.44,0,0.3,1.4,0,1,0,0,0.98,0.15,21,0.0,0.25,3,0,0
33,retired,low,urban,816,0.54,3,2,229317,218543,0.95,1,0.15,0.1,1,1,0,1,0.64,0.15,12,67.4,0.39,1,1,1
52,self_employed,medium,urban,571,0.59,6,1,650658,298546,0.46,1,0.21,0.0,1,1,0,0,0.79,0.1,23,94.9,0.54,3,1,0
27,salaried,low,urban,607,0.29,4,0,312749,429264,1.37,2,0.24,0.4,1,2,0,0,0.83,0.16,20,120.9,0.28,1,0,0
42,self_employed,medium,urban,694,0.1,3,0,864710,223903,0.26,0,0.19,1.8,0,1,0,0,1.0,0.33,17,32.7,0.72,2,0,0
48,salaried,high,urban,569,0.4,1,1,1000000,56820,0.06,1,0.1,1.2,1,2,0,0,0.91,0.64,7,32.9,0.14,3,1,1
22,salaried,medium,rural,696,0.39,2,2,677148,178158,0.26,1,0.33,0.0,1,4,0,0,0.96,0.08,5,74.0,0.75,1,1,0
62,business,medium,urban,717,0.37,4,1,833697,415218,0.5,5,0.36,1.4,2,3,0,0,0.8,0.26,10,34.3,0.26,1,0,0
65,salaried,high,urban,729,0.43,5,0,1403938,294009,0.21,0,0.07,2.6,0,4,0,0,0.84,0.49,12,68.5,0.04,0,1,0
26,salaried,medium,urban,715,0.56,8,0,995235,203123,0.2,4,0.12,1.7,0,4,0,0,0.84,0.27,21,1.6,0.0,0,0,0
48,retired,low,rural,642,0.47,8,1,247358,248895,1.01,6,0.42,2.2,0,2,0,0,0.87,0.65,13,53.9,0.47,1,0,1
48,salaried,medium,urban,667,0.43,2,1,655487,213552,0.33,3,0.45,1.4,0,4,0,0,0.95,0.4,9,27.5,0.12,0,0,0
64,salaried,high,rural,597,0.46,2,0,1161878,26890,0.02,3,0.32,1.7,1,3,0,1,0.92,0.39,12,123.5,0.4,2,0,0
64,student,low,urban,712,0.39,3,0,218430,204648,0.94,0,0.08,0.5,1,3,0,0,1.0,0.39,19,78.4,0.49,2,0,0
40,salaried,low,urban,792,0.21,5,1,284694,96480,0.34,6,0.31,0.9,3,3,0,0,0.97,0.42,0,149.4,0.07,1,0,0
50,business,medium,urban,712,0.57,6,0,785046,114516,0.15,1,0.07,0.2,0,4,0,0,0.86,0.36,2,68.5,0.46,1,0,0
31,retired,high,urban,631,0.37,6,0,1375607,145978,0.11,2,0.17,1.2,1,1,0,0,0.76,0.36,23,12.3,0.0,1,1,0
48,student,low,rural,749,0.21,4,1,305772,5000,0.02,5,0.29,0.4,0,2,0,0,0.92,0.23,13,7.6,0.06,2,1,0
45,self_employed,medium,urban,845,0.18,5,0,725351,159880,0.22,1,0.28,0.0,0,2,0,0,0.64,0.47,6,10.8,0.47,0,0,0
59,salaried,low,urban,697,0.21,4,0,255110,5000,0.02,3,0.22,0.8,0,1,0,0,0.77,0.38,1,92.9,0.48,2,1,0
53,salaried,medium,rural,718,0.17,5,3,627344,280461,0.45,4,0.5,0.4,0,2,0,1,0.87,0.21,6,56.9,0.3,0,1,0
21,business,low,urban,727,0.45,8,0,216789,5000,0.02,2,0.52,0.6,0,4,0,0,0.99,0.46,6,30.1,0.18,1,0,0
