event_id,event_timestamp,insurance_type,region,policy_tier,event_channel,verification_mode,claim_stage,customer_age,annual_income,premium_amount,policy_duration_months,event_amount,historical_event_count,account_tenure_days,event_delay_days,supporting_doc_count,external_reference_score,geo_risk_index,behavioral_score,payment_irregularity_count,prior_escalations,digital_activity_score,asset_value_estimate,coverage_utilization_ratio,co_participant_count,network_trust_score,anomaly_indicator,historical_avg_amount,amount_deviation_ratio,response_latency_seconds,device_switch_count,profile_update_frequency,third_party_involvement,investigation_flag,sentiment_score,document_complexity_score,fraud_outcome,fraud_probability_percent
14,01-02-2025 02:37,education,north,basic,agent,auto,under_review,33,1901677,65257,70,67089,2,2932,,1,0.27,0.1,47.2,0,0,89,266181,0.11,1,0.68,0,277753,0.24,250,2,2,1,0,0.42,0.35,0,52
15,01-02-2025 02:55,vehicle,south,standard,branch,hybrid,approved,21,1588493,53581,109,201550,3,74,13,0,0.62,0.16,40.1,0,0,57.3,781523,1.22,2,0.87,1,164442,1.23,56,1,1,0,1,0.83,0.95,0,63
16,01-02-2025 03:06,agriculture,west,standard,branch,auto,under_review,67,484370,20185,61,188670,2,3661,69,6,0.22,0.7,22,0,1,37.6,491344,0.62,3,0.57,0,13974,13.5,120,1,0,0,1,0.06,0.4,1,64
17,01-02-2025 03:14,home,south,basic,branch,hybrid,under_review,66,833616,40398,13,76893,1,1698,,5,0.7,0.52,52.6,0,0,93.8,226277,0.36,0,0.29,0,16985,4.53,6,0,0,0,0,0.15,0.73,1,85
18,01-02-2025 03:24,life,west,premium,agent,hybrid,investigating,42,1952578,55887,98,277877,0,2512,60,9,0.06,0.52,93.6,0,1,15.1,781432,0.48,0,0.67,0,12587,22.07,78,3,0,0,0,0.83,0.98,1,93
19,01-02-2025 03:38,health,west,premium,branch,manual,rejected,20,986249,68478,71,485618,3,3244,81,6,0.36,0.86,91.7,1,1,19.9,925992,0.28,2,0.21,1,170419,2.85,148,1,1,0,0,-0.52,0.57,1,87
20,01-02-2025 03:55,warranty,north,basic,web,auto,rejected,46,705546,31540,113,407913,3,3141,14,3,0.77,0.42,92.8,0,2,80.1,68733,0.64,2,0.62,1,50433,8.09,219,0,0,0,0,-0.5,0.44,1,60
21,01-02-2025 04:05,health,north,basic,mobile_app,hybrid,submitted,44,1042708,39720,44,127881,2,2920,74,0,0.38,0.66,33.5,0,1,48.6,171745,1.33,2,0.74,1,95967,1.33,178,1,2,0,0,-0.61,0.38,0,54
22,01-02-2025 04:12,vehicle,south,premium,branch,auto,approved,20,269830,23288,55,479581,0,1082,4,9,0.42,0.81,26.4,1,0,40.4,285847,0.81,0,0.82,1,271241,1.77,186,1,0,0,1,-0.18,0.54,0,46
23,01-02-2025 04:29,education,north,basic,branch,manual,rejected,37,1637517,70090,102,491000,1,2909,64,5,0.25,0.77,3.1,0,1,64.9,923273,0.48,2,0.86,0,123614,3.97,107,0,0,0,0,-0.87,0.15,1,67
24,01-02-2025 04:37,life,north,premium,agent,hybrid,approved,53,601743,16903,112,499776,1,1853,8,0,0,0.89,56.6,0,1,44.9,626451,0.41,1,0.86,0,158128,3.16,198,0,0,0,0,-0.74,0.26,0,42
25,01-02-2025 04:50,health,south,premium,agent,auto,investigating,21,798719,12502,9,447809,1,1765,65,5,0.78,0.18,3.4,3,0,54.4,620009,0.44,1,0.55,0,165526,2.71,26,0,1,0,0,-0.43,0.67,0,15
26,01-02-2025 05:08,agriculture,north,premium,agent,hybrid,approved,43,1646486,33452,92,416111,1,1722,36,0,0.81,0.41,14.3,0,0,35.6,564964,1.03,2,0.94,0,106887,3.89,23,1,0,1,0,0.47,0.17,0,11
27,01-02-2025 05:17,home,central,premium,agent,hybrid,under_review,64,412071,30642,73,124387,1,302,66,8,0.57,0.71,49.5,0,2,71.2,972556,1.21,2,0.6,1,111354,1.12,249,0,1,0,0,0.63,0.67,0,26
28,01-02-2025 05:27,home,west,premium,mobile_app,auto,investigating,48,685461,30033,97,309607,1,2572,18,0,0.82,0.74,36,1,1,84.4,487771,0.63,3,0.42,0,44856,6.9,163,1,0,0,0,-0.62,0.66,1,93
29,01-02-2025 05:36,health,east,standard,agent,auto,investigating,27,374041,12694,83,355897,1,1212,20,8,0.28,0.18,76.1,0,1,58.9,302208,0.97,0,0.42,0,92537,3.85,169,0,0,1,0,0.46,0.37,1,67
30,01-02-2025 05:55,business,east,basic,mobile_app,auto,under_review,65,1243811,22531,16,269821,2,2756,54,0,0.37,0.38,3.3,4,1,67.2,732024,0.86,1,0.85,0,176713,1.53,282,1,0,0,0,0.68,0.3,0,26
31,01-02-2025 06:05,home,west,premium,web,manual,approved,35,,45161,13,339860,4,895,5,8,0.44,0.54,10.6,0,0,34,737781,0.74,2,0.68,0,88289,3.85,175,1,0,0,1,-0.46,0.45,1,92
32,01-02-2025 06:13,vehicle,west,premium,mobile_app,manual,under_review,25,402209,31781,32,73771,2,2734,59,8,0.97,0.53,21.4,0,0,82.8,344418,1.15,2,0.81,0,194328,0.38,195,0,0,0,0,-0.8,0.51,0,40
33,01-02-2025 06:29,vehicle,west,standard,branch,hybrid,submitted,41,644947,27729,43,183867,4,2145,54,6,0.67,0.75,79.3,0,1,25.9,446461,0.57,2,0.61,1,221573,0.83,176,0,0,1,0,-0.55,0.94,0,34
34,01-02-2025 06:38,life,north,basic,branch,hybrid,under_review,42,674693,16040,74,177060,1,2316,32,1,0.48,0.42,43.6,0,1,13.3,747731,1.4,3,0.38,0,176535,1,262,0,1,0,0,-0.33,0.43,0,37
35,01-02-2025 06:55,business,south,premium,mobile_app,auto,submitted,21,1044472,61900,67,86550,3,2699,6,5,0.59,0.81,,1,0,32.5,966057,1.22,2,0.78,0,189836,0.46,256,0,0,0,0,0.48,0.54,0,48
36,01-02-2025 07:01,life,west,basic,mobile_app,auto,approved,59,1599342,8486,98,233484,3,2053,9,2,0.7,0.36,31.8,0,0,20.1,193645,0.12,2,0.93,0,172803,1.35,89,1,1,0,0,0.01,0.96,0,59
37,01-02-2025 07:20,home,central,standard,agent,hybrid,rejected,21,1401516,69602,38,284447,2,3743,85,9,0.81,0.48,5.5,1,0,58,928519,0.15,1,0.82,0,201418,1.41,160,1,0,1,0,-0.74,0.25,0,33
38,01-02-2025 07:24,business,west,premium,branch,hybrid,under_review,44,825211,14435,54,208161,4,3734,10,6,0.55,0.25,14.7,1,0,87.9,744192,0.84,3,0.62,0,273004,0.76,287,0,0,0,0,0.52,0.55,0,37
39,01-02-2025 07:44,health,west,basic,web,auto,under_review,42,803761,53626,20,351937,1,3295,36,0,0.91,0.76,12.6,1,0,89.6,109957,1.15,3,0.87,0,179122,1.96,100,1,0,0,0,-0.58,0.89,0,10
40,01-02-2025 07:49,health,east,premium,branch,auto,investigating,56,1946304,37317,31,284505,3,2579,9,3,0.36,0.12,2,0,0,60.8,183509,0.36,3,0.32,0,121636,2.34,189,0,0,1,0,-0.28,0.11,1,92
41,01-02-2025 08:03,agriculture,north,basic,branch,hybrid,submitted,36,559376,43551,9,81599,0,1999,17,1,0.06,0.76,56,0,0,34.5,974007,0.54,3,0.24,0,85880,0.95,67,1,2,0,0,0.58,0.79,0,52
42,01-02-2025 08:13,education,east,premium,mobile_app,hybrid,approved,61,552125,53722,22,156284,3,2179,7,6,0.43,0.12,41.7,0,0,79.3,413537,1.13,2,0.7,0,44464,3.51,190,0,2,1,0,-0.15,0.91,0,63
43,01-02-2025 08:32,education,central,basic,agent,hybrid,under_review,34,,54353,89,431665,1,1039,0,8,0.84,0.44,37.6,0,0,48,82299,1.03,3,0.2,0,287906,1.5,134,1,1,0,1,-0.44,0.5,0,50
44,01-02-2025 08:38,warranty,north,standard,branch,manual,submitted,23,1521585,61145,113,229198,0,827,0,6,0.11,0.58,39.9,0,0,50.7,674867,1.04,3,0.46,0,84779,2.7,135,1,0,0,0,0.42,0.8,0,52
45,01-02-2025 08:54,vehicle,south,premium,agent,auto,under_review,65,1365025,67270,41,90991,0,3633,1,3,0.88,0.37,35.3,1,1,11.8,50074,0.96,1,0.41,0,72747,1.25,221,0,0,0,0,0.27,0.64,0,27
46,01-02-2025 09:05,life,east,basic,branch,auto,submitted,31,1309126,59864,76,499851,3,2214,38,9,0.21,0.22,39.5,1,0,83.8,930279,0.21,3,0.77,1,128057,3.9,74,0,0,1,1,0.67,0.58,1,78
47,01-02-2025 09:19,life,south,basic,branch,hybrid,rejected,62,724431,56264,59,247767,0,3800,66,9,0.13,0.49,24,0,1,54.4,624221,0.62,2,0.44,0,28813,8.6,148,2,0,0,0,-0.95,0.16,1,95
48,01-02-2025 09:27,business,east,basic,agent,auto,approved,65,,70620,81,184265,2,531,9,9,0.76,0.12,12.4,0,0,84,955947,1.3,1,0.23,0,177911,1.04,116,0,0,0,0,0.94,0.32,0,17
49,01-02-2025 09:43,health,west,standard,agent,hybrid,submitted,30,1980713,31132,108,397119,0,2266,43,8,0.53,0.87,80.6,1,1,18.3,941243,0.6,0,0.36,0,31583,12.57,99,0,0,1,1,-0.13,0.73,1,82
50,01-02-2025 09:51,vehicle,north,standard,agent,auto,under_review,65,207122,35481,21,315503,2,551,2,9,0.86,0.78,7,0,3,53.1,191743,0.71,2,0.61,1,171490,1.84,295,2,0,0,0,-0.89,0.18,0,20
51,01-02-2025 10:02,warranty,east,standard,mobile_app,hybrid,investigating,70,1936505,44292,61,450714,2,795,45,9,0.55,0.33,67.5,1,1,68,521384,1.24,1,0.61,1,83351,5.41,163,0,0,1,0,0.85,0.47,1,87
52,01-02-2025 10:17,vehicle,east,basic,mobile_app,manual,submitted,41,1005116,76117,35,90026,1,2489,82,3,0.94,0.51,4.9,0,1,80.1,573359,1.47,2,0.46,0,30118,2.99,131,1,2,1,1,-0.55,0.99,0,46
53,01-02-2025 10:24,vehicle,east,basic,mobile_app,auto,approved,30,955907,71347,97,469326,0,61,16,6,0.86,0.16,40.4,0,0,10.1,318210,1.28,1,0.82,1,88806,5.28,208,3,1,1,0,0.13,0.47,1,75
54,01-02-2025 10:43,health,east,premium,branch,manual,investigating,54,1467959,30236,108,108469,0,938,4,4,0.17,0.63,77.9,0,0,20.7,789592,1.05,2,0.95,1,268817,0.4,293,1,1,1,0,0.31,0.23,0,41
55,01-02-2025 10:56,home,north,basic,agent,auto,under_review,28,374108,45352,75,266381,3,2323,80,5,0.08,0.54,47.2,1,0,12.4,790964,0.96,2,0.63,0,202337,1.32,216,1,0,1,0,-0.78,0.29,0,13
56,01-02-2025 11:04,agriculture,central,basic,agent,manual,investigating,59,477589,56254,117,271195,2,290,77,5,0.54,0.66,89.5,4,0,44.6,361056,1.08,2,0.84,0,22889,11.85,45,2,1,1,0,0.02,0.25,1,99
57,01-02-2025 11:16,business,north,standard,web,auto,submitted,34,1928949,37654,58,189081,1,2352,61,0,0.23,0.82,97.5,0,1,21.7,513603,0.97,0,0.21,0,235347,0.8,140,0,2,0,0,-0.19,0.9,0,39
58,01-02-2025 11:32,home,central,standard,mobile_app,manual,submitted,37,644593,48162,36,212496,2,3148,10,2,0.08,0.41,1.7,1,0,89.7,935731,0.49,0,0.29,0,175012,1.21,133,1,0,1,0,-0.25,0.21,0,18
59,01-02-2025 11:42,education,central,standard,agent,hybrid,under_review,61,366886,72743,70,294493,4,936,81,1,0.38,0.87,26.4,0,0,38.8,939731,0.78,2,0.52,0,63799,4.62,104,1,1,0,0,0.97,0.26,1,76
60,01-02-2025 11:53,home,south,standard,agent,auto,under_review,62,1490113,63970,47,146863,0,2593,52,7,0.45,0.9,32.2,1,1,33.8,425894,1.14,0,0.44,0,57100,2.57,114,1,0,0,0,-0.75,0.37,1,89
61,01-02-2025 12:04,warranty,south,basic,web,hybrid,rejected,28,1680623,8932,56,307772,2,3410,21,7,0.17,0.61,62.4,0,1,50.5,329402,1.33,3,0.85,1,276699,1.11,216,0,1,1,0,0.36,0.66,0,56
62,01-02-2025 12:16,home,east,basic,branch,auto,under_review,27,1804088,7618,11,209972,1,2101,11,5,0,0.8,69.9,0,0,49.8,526165,0.68,0,0.64,0,177835,1.18,299,0,0,0,0,0.34,0.41,0,50
63,01-02-2025 12:24,agriculture,east,standard,agent,auto,submitted,65,1042031,55932,109,312195,2,1764,40,1,0.74,0.68,,0,0,55.6,841473,0.91,0,0.44,0,105770,2.95,6,0,1,0,0,0.57,0.73,0,16
64,01-02-2025 12:40,home,east,basic,web,manual,rejected,22,661565,46129,73,190206,0,1940,34,6,0.96,0.64,35.6,0,1,89.7,358417,0.45,3,0.66,0,224713,0.85,212,0,0,1,0,0.32,0.56,0,26
65,01-02-2025 12:52,home,south,premium,web,auto,approved,32,1579545,26548,118,45836,0,2641,20,9,0.25,0.64,7.4,0,0,69.8,310740,1.21,1,0.91,0,189297,0.24,289,2,0,0,0,0.9,0.76,0,31
66,01-02-2025 13:02,warranty,central,basic,branch,auto,approved,73,1722960,22263,43,290596,1,3044,1,1,0.83,0.82,85.9,1,0,89.2,845759,0.94,3,0.77,1,269959,1.08,44,0,0,0,0,-0.9,0.3,0,21
67,01-02-2025 13:15,vehicle,central,premium,mobile_app,hybrid,investigating,67,344129,19727,59,247373,1,3912,82,1,0.09,0.24,28.6,1,0,92.3,444048,0.64,3,0.41,1,20698,11.95,215,0,0,1,0,0.74,0.86,1,96
68,01-02-2025 13:29,education,south,standard,mobile_app,auto,investigating,58,1341052,59599,38,56269,3,339,89,6,0.49,0.53,22.3,0,0,82.4,512094,1.03,0,0.6,1,152860,0.37,54,0,0,1,0,0.99,0.96,0,60
69,01-02-2025 13:44,life,central,premium,web,hybrid,investigating,55,611490,13461,11,104507,3,3849,38,4,0.55,0.59,40.9,1,0,57,519798,0.37,3,0.57,0,265332,0.39,242,1,0,0,0,-0.88,0.39,0,25
70,01-02-2025 13:51,vehicle,north,basic,mobile_app,hybrid,approved,22,1796676,12283,66,385191,2,283,24,2,0.66,0.74,48.6,0,0,87,105314,0.57,3,0.21,0,174092,2.21,77,0,1,0,0,0.73,0.34,0,14
71,01-02-2025 14:06,education,central,basic,web,hybrid,investigating,27,1428365,63287,46,165343,0,2242,55,9,0.49,0.71,93.2,2,1,37,819377,1.01,3,0.65,0,86493,1.91,2,2,0,0,0,0.05,0.38,0,6
72,01-02-2025 14:19,agriculture,north,standard,web,hybrid,investigating,55,1561139,28936,72,218213,4,2917,12,3,0.96,0.87,75.8,0,0,49.2,250995,0.65,2,0.65,0,255240,0.85,223,1,1,0,0,0.78,0.7,0,45
73,01-02-2025 14:25,vehicle,west,standard,web,manual,under_review,20,1904078,52692,112,143561,1,3488,52,1,0.67,0.62,5.8,0,0,13.8,931477,0.16,3,0.63,0,198149,0.72,231,1,0,1,0,0.85,0.54,0,8
74,01-02-2025 14:39,home,west,standard,branch,auto,rejected,53,1795876,64386,35,401382,0,3391,15,6,0.98,0.75,85.3,3,0,11.8,861390,0.86,1,0.75,1,136002,2.95,129,0,0,1,1,-0.2,0.16,1,76
75,01-02-2025 14:52,health,central,premium,mobile_app,auto,investigating,47,566527,65815,30,494409,2,1994,45,0,0.58,0.43,12.1,0,0,37,903895,1.07,0,0.95,0,127770,3.87,84,1,0,1,0,0.35,0.88,0,14
76,01-02-2025 15:04,agriculture,central,premium,mobile_app,auto,rejected,55,236687,28249,85,91245,1,1749,2,8,0.29,0.23,18.3,2,2,15.6,486110,1.15,1,0.46,1,195647,0.47,66,1,1,1,0,0.66,0.55,1,88
77,01-02-2025 15:16,vehicle,south,premium,branch,manual,investigating,48,839750,36361,102,80610,2,732,71,3,0.12,0.15,63.7,0,1,82.6,634500,0.26,3,0.41,0,248613,0.32,237,1,1,0,0,-0.19,0.83,0,43
78,01-02-2025 15:31,education,north,premium,mobile_app,manual,submitted,35,1857296,72376,58,462950,2,1440,68,8,0.04,0.14,33.9,1,1,69.7,178768,0.36,3,0.85,0,88643,5.22,34,0,0,0,0,-0.79,0.49,1,74
79,01-02-2025 15:36,agriculture,west,basic,branch,manual,rejected,52,1256281,71667,111,224115,0,1555,63,5,0.56,0.19,,0,1,36.3,208565,0.9,1,0.82,0,138551,1.62,244,2,0,0,0,0.89,0.23,0,39
80,01-02-2025 15:51,vehicle,central,basic,mobile_app,hybrid,investigating,73,1146580,7144,59,487923,4,2569,,4,0.64,0.4,13.2,2,2,55.8,493781,0.83,3,0.47,0,278922,1.75,200,0,0,0,0,0.77,0.45,0,16
81,01-02-2025 16:05,life,central,premium,agent,auto,approved,64,1188753,55845,58,347179,2,3456,19,5,0.39,0.17,46.7,1,1,58.9,859819,0.36,3,0.2,0,298315,1.16,229,1,1,0,0,0.58,0.89,0,30
82,01-02-2025 16:19,warranty,north,basic,web,manual,rejected,66,1990960,41370,59,332559,0,1598,66,5,0.09,0.56,57.1,1,1,62.1,376557,0.78,3,0.94,0,219526,1.51,171,1,0,0,0,-0.41,0.19,0,7
83,01-02-2025 16:26,warranty,east,standard,agent,auto,approved,67,1137712,79635,11,300890,3,51,57,9,0.82,0.9,16.3,0,0,32.3,682605,0.37,0,0.81,0,81727,3.68,77,1,0,1,0,-0.17,0.76,1,82
84,01-02-2025 16:41,warranty,north,basic,web,hybrid,approved,59,1015200,57621,102,342419,2,2651,17,6,0.09,0.13,94.6,0,0,77.1,400893,0.46,3,0.28,0,202034,1.69,44,2,0,0,0,-1,0.66,0,47
85,01-02-2025 16:49,warranty,west,premium,web,manual,rejected,64,927293,48832,34,173678,4,2573,62,1,0.33,0.17,81.1,1,0,76.9,795265,0.37,2,0.37,1,92086,1.89,60,0,1,0,0,-0.21,0.37,0,33
86,01-02-2025 17:00,agriculture,north,basic,agent,hybrid,under_review,45,503310,38336,10,221763,2,208,11,4,0.96,0.2,44.8,2,1,43.8,445660,1.26,3,0.24,0,269977,0.82,186,1,0,0,0,-0.72,0.36,0,18
87,01-02-2025 17:16,warranty,central,standard,mobile_app,manual,rejected,49,704242,79093,58,456764,4,1194,8,9,0.02,0.59,26.9,0,2,35.4,605134,0.9,1,0.38,0,186036,2.46,246,0,1,1,0,-0.99,0.82,0,67
88,01-02-2025 17:30,home,north,basic,branch,manual,investigating,64,1282712,55320,24,284749,0,3981,2,2,0.29,0.5,26.7,0,0,52.8,541212,0.61,2,0.74,0,159642,1.78,66,1,0,1,0,0.26,0.74,0,20
89,01-02-2025 17:40,education,north,premium,mobile_app,auto,rejected,71,1625762,7145,109,399098,2,1635,16,2,0.96,0.68,31.1,0,0,82.3,99528,0.57,0,0.48,0,66926,5.96,266,1,0,0,0,0.46,0.84,1,93
90,01-02-2025 17:52,agriculture,east,premium,agent,manual,under_review,62,1246960,60854,56,346312,0,536,83,4,0.98,0.9,47.6,1,1,18.4,93818,0.41,0,0.88,1,269117,1.29,161,1,0,0,1,0.21,0.44,0,39
91,01-02-2025 18:08,warranty,north,basic,mobile_app,auto,under_review,21,1774815,25772,40,75760,0,1804,70,1,0.44,0.48,57.8,1,0,14.9,676563,0.53,2,0.92,1,261209,0.29,275,2,2,0,0,0.68,0.55,0,30
92,01-02-2025 18:19,home,west,standard,branch,manual,under_review,30,1258248,57855,28,441686,1,820,80,6,0.15,0.9,57.9,0,1,32.7,139727,0.62,1,0.67,0,170196,2.6,143,1,1,0,0,-0.18,0.24,0,56
93,01-02-2025 18:27,vehicle,south,standard,web,manual,under_review,27,798642,37744,82,438056,2,2415,14,2,0.52,0.3,23.9,0,0,45.2,78475,0.46,0,0.94,0,214272,2.04,292,1,0,1,1,0.59,0.77,0,23
94,01-02-2025 18:39,health,west,standard,branch,hybrid,investigating,46,1555237,46258,79,263742,2,3964,28,0,0.7,0.35,53.8,1,0,55.9,482954,0.34,1,0.45,0,81130,3.25,102,0,1,1,1,0.6,0.38,1,61
95,01-02-2025 18:52,business,north,standard,agent,hybrid,approved,51,1141242,74059,112,49641,3,2189,7,3,0.62,0.26,30.6,0,0,23,116903,0.84,0,0.48,0,137284,0.36,249,0,0,0,0,0.82,0.11,0,34
96,01-02-2025 19:08,home,north,standard,mobile_app,manual,rejected,31,1403128,11695,109,65707,2,2103,66,5,0.82,0.65,92.5,0,0,87,287566,0.98,0,0.32,1,185594,0.35,137,0,0,1,0,0.65,0.62,0,9
97,01-02-2025 19:18,agriculture,north,basic,web,manual,rejected,67,1304704,77152,74,493737,1,1481,38,2,0.55,0.37,53.5,0,0,32.1,140060,1.21,1,0.92,1,207521,2.38,102,2,1,0,0,-0.26,0.51,0,42
98,01-02-2025 19:31,health,north,standard,branch,manual,under_review,60,899720,53428,51,355532,5,2592,51,1,0.34,0.57,44.7,0,1,30.2,97851,0.58,2,0.91,0,201164,1.77,226,0,0,1,0,0.67,0.48,0,50
99,01-02-2025 19:39,life,south,premium,web,hybrid,rejected,50,1471917,44242,55,433068,1,1836,42,2,0.7,0.75,71.5,1,0,50.2,113802,0.77,3,0.39,1,145352,2.98,68,0,0,0,0,-0.7,0.47,1,66
100,01-02-2025 19:48,health,south,basic,web,hybrid,approved,43,1862835,74613,69,462670,3,414,76,3,0.37,0.37,48.2,0,0,30.4,395436,1.37,0,0.85,0,15143,30.55,85,0,1,1,0,-0.42,0.89,1,73
101,01-02-2025 20:04,warranty,north,basic,web,manual,investigating,33,267653,12474,61,104647,1,735,48,3,0.17,0.53,69.5,0,0,60.2,119919,1.42,3,0.56,1,252292,0.41,8,1,0,0,0,-0.02,0.55,0,47
102,01-02-2025 20:15,warranty,east,basic,web,auto,investigating,37,1448987,50712,18,171812,5,233,41,4,0.65,0.49,59.3,1,0,50.5,309782,0.98,0,0.5,0,160422,1.07,196,1,0,1,0,0.98,0.59,0,7
103,01-02-2025 20:31,agriculture,east,premium,mobile_app,manual,investigating,43,480426,35923,84,306960,5,851,,2,0.61,0.65,88.4,1,0,48.7,566315,1.31,0,0.75,0,158208,1.94,159,4,2,0,0,0.25,0.93,0,48
104,01-02-2025 20:39,health,west,premium,agent,auto,submitted,65,1481016,79934,57,223454,1,1859,77,8,0.57,0.64,24.9,1,1,57.5,961955,0.68,3,0.42,0,114129,1.96,27,2,0,1,1,-0.61,0.69,0,39
105,01-02-2025 20:54,vehicle,east,basic,branch,manual,under_review,48,1697031,42441,104,181214,2,826,1,0,0.57,0.27,15.7,1,0,88.9,459826,1.07,0,0.31,0,22833,7.94,25,1,1,0,0,0.8,0.44,1,77
106,01-02-2025 21:05,warranty,east,premium,branch,auto,submitted,54,297709,7414,90,294151,2,271,73,2,0.52,0.52,,1,0,43,877341,1.2,2,0.36,0,73607,4,146,0,0,1,0,0.79,0.71,1,60
107,01-02-2025 21:20,vehicle,south,standard,mobile_app,manual,under_review,65,545695,23572,28,24308,1,2896,,6,0.8,0.83,51.7,0,1,87.9,752623,0.4,0,0.2,1,129189,0.19,223,0,0,0,1,-0.82,0.58,0,60
108,01-02-2025 21:27,agriculture,east,basic,branch,hybrid,under_review,38,1638270,46851,111,133404,1,3127,52,4,0.03,0.47,13.3,1,0,19.9,657683,1.17,0,0.52,0,81680,1.63,241,1,1,0,0,-0.31,0.95,0,59
109,01-02-2025 21:43,warranty,north,premium,mobile_app,manual,submitted,61,1434842,27280,38,262956,0,106,10,9,0.82,0.86,,0,0,78.4,828183,0.48,2,0.69,0,119240,2.21,151,1,0,0,0,0.87,0.2,0,28
110,01-02-2025 21:50,warranty,north,premium,web,auto,rejected,20,538920,42359,36,207002,2,1750,,2,0.41,0.65,75.6,1,0,36.9,632376,0.39,1,0.27,1,154725,1.34,231,0,1,0,0,-0.07,0.27,0,52
111,01-02-2025 22:05,vehicle,north,basic,agent,auto,under_review,18,1221864,71681,105,25865,2,3114,68,7,0.15,0.19,25.3,0,0,22.9,559226,0.38,0,0.74,0,82749,0.31,240,2,0,1,0,-0.17,0.14,0,68
112,01-02-2025 22:20,education,north,standard,branch,manual,approved,32,1975213,26983,9,146639,1,814,17,4,0.27,0.39,43.9,1,1,93.7,148590,1.42,1,0.8,0,284548,0.52,273,0,1,0,0,-0.61,0.62,0,1
113,01-02-2025 22:25,health,north,standard,web,manual,rejected,30,1296492,67371,82,248512,2,3152,0,6,0.88,0.13,42.6,1,0,25.7,221729,0.85,0,0.55,0,155952,1.59,109,0,1,1,1,-0.75,0.39,0,12
